arm,window,estimate,se
H_own,≤−8,-0.0744933141612615,0.03165764805394899
H_own,−7/−6,-0.1263220924423291,0.023940788008835465
H_own,−5/−4,-0.0972911553469798,0.016427149750620162
H_own,−3/−2 ref.,0,0
H_own,−1/0,0.1096519325045034,0.014160480154023733
H_own,+1/+2,0.1561600520029078,0.017070798061101303
H_own,+3/+4,0.1613078196831912,0.019078334977067575
H_own,+5/+6,0.1356949140567285,0.020583044193228563
H_own,+7/+8,0.096455112847572,0.022708185261310514
H_own,+9/+10,0.0596976081759103,0.024440584353987937
H_own,≥+11,-0.0152926250382756,0.031780897336964854
H_moved,≤−8,-0.0151366101615463,0.024066294433053047
H_moved,−7/−6,-0.027805926666645,0.022286988859000222
H_moved,−5/−4,0.027022404098913,0.019268433090498045
H_moved,−3/−2 ref.,0,0
H_moved,−1/0,-0.0432556584136029,0.015034539253156379
H_moved,+1/+2,-0.12179242280198,0.01660529277146296
H_moved,+3/+4,-0.1587042225062316,0.017069329166411313
H_moved,+5/+6,-0.1571520566213355,0.018425759569575414
H_moved,+7/+8,-0.1404988357101973,0.019195509991211487
H_moved,+9/+10,-0.1505646851062173,0.019967407963636642
H_moved,≥+11,-0.085973444412068,0.023846348939588216
H_moved_space,≤−8,0.010442299357087,0.01194868190872533
H_moved_space,−7/−6,0.0010122680519536,0.013385253968898012
H_moved_space,−5/−4,0.0177509690005038,0.011299702213155885
H_moved_space,−3/−2 ref.,0,0
H_moved_space,−1/0,0.0140815523698919,0.008571393875164061
H_moved_space,+1/+2,0.0340082063011251,0.009462697904863072
H_moved_space,+3/+4,0.0204264423269808,0.009745946868544892
H_moved_space,+5/+6,0.0067497611969073,0.010336694356659676
H_moved_space,+7/+8,0.0038917279081438,0.010742153929524562
H_moved_space,+9/+10,-0.0001506082320916,0.010518328659829945
H_moved_space,≥+11,0.0071673160911305,0.011848742632005305
H_moved_nbhd,≤−8,0.0118760463328567,0.009990866411312884
H_moved_nbhd,−7/−6,0.0135395456584128,0.009227175343110154
H_moved_nbhd,−5/−4,0.0062253755850207,0.007910132538560906
H_moved_nbhd,−3/−2 ref.,0,0
H_moved_nbhd,−1/0,-0.0042449499568813,0.005566443422805984
H_moved_nbhd,+1/+2,-0.0051317534347712,0.005773325393618482
H_moved_nbhd,+3/+4,-0.009830130728163,0.0054471177694263235
H_moved_nbhd,+5/+6,0.0020628780701812,0.006346416788842346
H_moved_nbhd,+7/+8,-0.0021495519424485,0.005884291363358888
H_moved_nbhd,+9/+10,-0.0032444912164502,0.006529908111183495
H_moved_nbhd,≥+11,0.0068684712117833,0.00557136549743418
H_space_c,≤−8,0.0223527959942863,0.025678227783205755
H_space_c,−7/−6,0.0283515443558651,0.027373840895038824
H_space_c,−5/−4,0.0254437745808628,0.021974706973975786
H_space_c,−3/−2 ref.,0,0
H_space_c,−1/0,0.054130903294407,0.017024617187232142
H_space_c,+1/+2,0.1404712652404869,0.021135191998280973
H_space_c,+3/+4,0.1334505474458456,0.023092429691481144
H_space_c,+5/+6,0.1077866489771021,0.02633412438442562
H_space_c,+7/+8,0.1097905519111721,0.029051645588845737
H_space_c,+9/+10,0.1114709983535854,0.03084306644760699
H_space_c,≥+11,0.0994396310769296,0.03085770969001264
H_nbhd_c,≤−8,-0.0064028736681174,0.019406983609850346
H_nbhd_c,−7/−6,0.0289954444381785,0.017916493935714654
H_nbhd_c,−5/−4,-0.0028242659191651,0.014892838808266206
H_nbhd_c,−3/−2 ref.,0,0
H_nbhd_c,−1/0,-0.0173288526672485,0.011600385761107257
H_nbhd_c,+1/+2,-0.0111894135992379,0.013978534527524693
H_nbhd_c,+3/+4,-0.0168861938133445,0.014387260996315456
H_nbhd_c,+5/+6,0.022432062713089,0.018238363741868404
H_nbhd_c,+7/+8,0.0138192773096021,0.01858402849709395
H_nbhd_c,+9/+10,0.0035050155680246,0.022065507543575787
H_nbhd_c,≥+11,0.0188222103639319,0.01947747225661225
A2h_own,≤−8,-0.0002001474583375,0.01708336590650976
A2h_own,−7/−6,0.002682053457002,0.014054809298812986
A2h_own,−5/−4,-0.0194163318711187,0.010648719256032623
A2h_own,−3/−2 ref.,0,0
A2h_own,−1/0,0.16058557415105,0.009039147120945648
A2h_own,+1/+2,0.2453369847069905,0.011399649219989183
A2h_own,+3/+4,0.2688572025306991,0.01291509644919464
A2h_own,+5/+6,0.2603550085448113,0.01411176501480945
A2h_own,+7/+8,0.2418012661707602,0.015537330078449771
A2h_own,+9/+10,0.2290898816122833,0.016656201092572098
A2h_own,≥+11,0.2208393051653022,0.020362515057278655
A2h_moved,≤−8,-0.1247122816692323,0.014355166711128785
A2h_moved,−7/−6,-0.098739647070965,0.01288457294231361
A2h_moved,−5/−4,-0.024510917144955,0.011917435115699183
A2h_moved,−3/−2 ref.,0,0
A2h_moved,−1/0,-0.0745762637019792,0.010351959300137341
A2h_moved,+1/+2,-0.1676120650966785,0.011104808645947033
