arm,case,policy,row_order,metric,value,unit
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,1,completed fertility change,0.7497985377655336,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,2,births per household change,0.6746201169030464,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,3,household population change under quota,3.4635313888250474,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,4,required immigration at fixed population (identical to percent of fertility gap closed),3.517842792048864,percent reduction
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,5,house price change,-17.289618521807924,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,6,rent change,-5.7817029213994235,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,7,4.917 times fixed-population dlnB,3.5053187842167137,log-percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,8,realized dln household population,3.4049010895011707,log-percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,9,housing-feedback damping,0.10041769471554307,percentage points
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,10,unidentified entry-response sensitivity (lambda=2),10.103765795115805,percent
